Year,League,Player,Team,Hits
1984,AL,Don Mattingly,NEW YORK,207.0
1984,NL,Tony Gwynn,SAN DIEGO,213.0
1985,AL,Wade Boggs,BOSTON,240.0
1985,NL,Willie McGee,ST. LOUIS,216.0
1986,AL,Don Mattingly,NEW YORK,238.0
1986,NL,Tony Gwynn,SAN DIEGO,211.0
1987,AL,Kirby Puckett,MINNESOTA,207.0
1987,NL,Tony Gwynn,SAN DIEGO,218.0
1988,AL,Kirby Puckett,MINNESOTA,234.0
1988,NL,Andres Galarraga,MONTREAL,184.0
1989,AL,Kirby Puckett,MINNESOTA,215.0
1989,NL,Tony Gwynn,SAN DIEGO,203.0
1990,AL,Rafael Palmeiro,TEXAS,191.0
1990,NL,Brett Butler,SAN FRANCISCO,192.0
1991,AL,Paul Molitor,MILWAUKEE,216.0
1991,NL,Terry Pendleton,ATLANTA,187.0
1992,AL,Kirby Puckett,MINNESOTA,210.0
1992,NL,Terry Pendleton,ATLANTA,199.0
1993,AL,Paul Molitor,TORONTO,211.0
1993,NL,Lenny Dykstra,PHILADELPHIA,194.0
1994,AL,Kenny Lofton,CLEVELAND,160.0
1994,NL,Tony Gwynn,SAN DIEGO,165.0
1995,AL,Lance Johnson,CHICAGO,186.0
1995,NL,Dante Bichette,COLORADO,197.0
1996,AL,Paul Molitor,MINNESOTA,225.0
1996,NL,Lance Johnson,NEW YORK,227.0
1997,AL,Nomar Garciaparra,BOSTON,209.0
1997,NL,Tony Gwynn,SAN DIEGO,220.0
1998,AL,Alex Rodriguez,SEATTLE,213.0
1998,NL,Dante Bichette,COLORADO,219.0
1999,AL,Derek Jeter,NEW YORK,219.0
1999,NL,Luis Gonzalez,ARIZONA,206.0
2000,AL,Darin Erstad,ANAHEIM,240.0
2000,NL,Todd Helton,COLORADO,216.0
2001,AL,Ichiro Suzuki,SEATTLE,242.0
2001,NL,Rich Aurilia,SAN FRANCISCO,206.0
2002,AL,Alfonso Soriano,NEW YORK,209.0
2002,NL,Vladimir Guerrero,MONTREAL,206.0
2003,AL,Vernon Wells,TORONTO,215.0
2003,NL,Albert Pujols,ST. LOUIS,212.0
2004,AL,Ichiro Suzuki,SEATTLE,262.0
2004,NL,Juan Pierre,FLORIDA,221.0
2005,AL,Michael Young,TEXAS,221.0
2005,NL,Derrek Lee,CHICAGO,199.0
2006,AL,Ichiro Suzuki,SEATTLE,224.0
2006,NL,Juan Pierre,CHICAGO,204.0
2007,AL,Ichiro Suzuki,SEATTLE,238.0
2007,NL,Matt Holliday,COLORADO,216.0
2008,AL,Dustin Pedroia,BOSTON,213.0
2008,NL,Jose Reyes,NEW YORK,204.0
2009,AL,Ichiro Suzuki,SEATTLE,225.0
2009,NL,Ryan Braun,MILWAUKEE,203.0
2010,AL,Ichiro Suzuki,SEATTLE,214.0
2010,NL,Carlos González,COLORADO,197.0
2011,AL,Adrian Gonzalez,BOSTON,213.0
2011,NL,Starlin Castro,CHICAGO,207.0
2012,AL,Derek Jeter,NEW YORK,216.0
2012,NL,Andrew McCutchen,PITTSBURGH,194.0
2013,AL,Adrián Beltré,TEXAS,199.0
2013,NL,Matt Carpenter,ST. LOUIS,199.0
2014,AL,Jose Altuve,HOUSTON,225.0
2014,NL,Ben Revere,PHILADELPHIA,184.0
2015,AL,Jose Altuve,HOUSTON,200.0
2015,NL,Dee Strange-Gordon,MIAMI,205.0
2016,AL,Jose Altuve,HOUSTON,216.0
2016,NL,Jean Segura,ARIZONA,203.0
2017,AL,Jose Altuve,HOUSTON,204.0
2017,NL,Charlie Blackmon,COLORADO,213.0
2018,AL,Whit Merrifield,KANSAS CITY,192.0
2018,NL,Freddie Freeman,ATLANTA,191.0
2019,AL,Whit Merrifield,KANSAS CITY,206.0
2019,NL,Ozzie Albies,ATLANTA,189.0
2020,AL,José Abreu,CHICAGO,76.0
2020,NL,Trea Turner,WASHINGTON,78.0
2021,AL,Bo Bichette,TORONTO,191.0
2021,NL,Trea Turner,LOS ANGELES,195.0
2022,AL,Bo Bichette,TORONTO,189.0
2022,NL,Freddie Freeman,LOS ANGELES,199.0
2023,AL,Marcus Semien,TEXAS,185.0
2023,NL,Ronald Acuña Jr.,ATLANTA,217.0
2024,AL,Bobby Witt Jr.,KANSAS CITY,211.0
2024,NL,Luis Arraez,MIAMI,200.0
2025,AL,Aaron Judge,NEW YORK,100.0
2025,NL,Trea Turner,PHILADELPHIA,90.0
