Year,League,Player,Team,Slugging Average
2003,NL,Barry Bonds,SAN FRANCISCO,0.749
2004,AL,Manny Ramirez,BOSTON,0.613
2004,NL,Barry Bonds,SAN FRANCISCO,0.812
2005,AL,Alex Rodriguez,NEW YORK,0.61
2005,NL,Derrek Lee,CHICAGO,0.662
2006,AL,Travis Hafner,CLEVELAND,0.659
2006,NL,Albert Pujols,ST. LOUIS,0.671
2007,AL,Alex Rodriguez,NEW YORK,0.645
2007,NL,Ryan Braun,MILWAUKEE,0.634
2008,AL,Alex Rodriguez,NEW YORK,0.573
2008,NL,Albert Pujols,ST. LOUIS,0.653
2009,AL,Joe Mauer,MINNESOTA,0.587
2009,NL,Albert Pujols,ST. LOUIS,0.658
2010,AL,Josh Hamilton,TEXAS,0.633
2010,NL,Joey Votto,CINCINNATI,0.6
2011,AL,Mike Napoli,TEXAS,0.631
2011,NL,Ryan Braun,MILWAUKEE,0.597
2012,AL,Miguel Cabrera,DETROIT,0.606
2012,NL,Giancarlo Stanton,MIAMI,0.608
2013,AL,Miguel Cabrera,DETROIT,0.636
2013,NL,Carlos González,COLORADO,0.591
2014,AL,José Abreu,CHICAGO,0.581
2014,NL,Corey Dickerson,COLORADO,0.567
2015,AL,Mike Trout,LOS ANGELES,0.59
2015,NL,Bryce Harper,WASHINGTON,0.649
2016,AL,David Ortiz,BOSTON,0.62
2016,NL,Daniel Murphy,WASHINGTON,0.595
2017,AL,Mike Trout,LOS ANGELES,0.629
2017,NL,Giancarlo Stanton,MIAMI,0.631
2018,AL,Mookie Betts,BOSTON,0.64
2018,NL,Christian Yelich,MILWAUKEE,0.598
2019,AL,Mike Trout,LOS ANGELES,0.645
2019,NL,Christian Yelich,MILWAUKEE,0.671
2020,AL,Jose Abreu,CHICAGO,0.617
2020,NL,Juan Soto,WASHINGTON,0.695
2021,AL,Vladimir Guerrero Jr.,TORONTO,0.601
2021,NL,Bryce Harper,PHILADELPHIA,0.615
2022,AL,Aaron Judge,NEW YORK,0.686
2022,NL,Paul Goldschmidt,ST. LOUIS,0.578
2023,AL,Shohei Ohtani,LOS ANGELES,0.654
2023,NL,Matt Olson,ATLANTA,0.604
2024,AL,Aaron Judge,NEW YORK,0.701
2024,NL,Shohei Ohtani,LOS ANGELES,0.646
