Year,League,Player,Team,Base on Balls
1967,AL,Harmon Killebrew,MINNESOTA,131.0
1967,NL,Ron Santo,CHICAGO,96.0
1968,AL,Carl Yastrzemski,BOSTON,119.0
1968,NL,Ron Santo,CHICAGO,96.0
1969,AL,Harmon Killebrew,MINNESOTA,145.0
1969,NL,Jimmy Wynn,HOUSTON,148.0
1970,AL,Frank Howard,WASHINGTON,132.0
1970,NL,Willie McCovey,SAN FRANCISCO,137.0
1971,AL,Harmon Killebrew,MINNESOTA,114.0
1971,NL,Willie Mays,SAN FRANCISCO,112.0
1972,AL,Dick Allen,CHICAGO,99.0
1972,NL,Joe Morgan,CINCINNATI,115.0
1973,AL,John Mayberry,KANSAS CITY,122.0
1973,NL,Darrell Evans,ATLANTA,124.0
1974,AL,Gene Tenace,OAKLAND,110.0
1974,NL,Darrell Evans,ATLANTA,126.0
1975,AL,John Mayberry,KANSAS CITY,119.0
1975,NL,Joe Morgan,CINCINNATI,132.0
1976,AL,Mike Hargrove,TEXAS,97.0
1976,NL,Jimmy Wynn,ATLANTA,127.0
1977,AL,Toby Harrah,TEXAS,109.0
1977,NL,Gene Tenace,SAN DIEGO,125.0
1978,AL,Mike Hargrove,TEXAS,107.0
1978,NL,Jeff Burroughs,ATLANTA,117.0
1979,AL,Darrell Porter,KANSAS CITY,121.0
1979,NL,Mike Schmidt,PHILADELPHIA,120.0
1980,AL,Willie Randolph,NEW YORK,119.0
1980,NL,Dan Driessen,CINCINNATI,93.0
1981,AL,Dwight Evans,BOSTON,85.0
1981,NL,Mike Schmidt,PHILADELPHIA,73.0
1982,AL,Rickey Henderson,OAKLAND,116.0
1982,NL,Mike Schmidt,PHILADELPHIA,107.0
1983,AL,Rickey Henderson,OAKLAND,103.0
1983,NL,Mike Schmidt,PHILADELPHIA,128.0
1984,AL,Eddie Murray,BALTIMORE,107.0
1984,NL,Gary Matthews,CHICAGO,103.0
1985,AL,Dwight Evans,BOSTON,114.0
1985,NL,Dale Murphy,ATLANTA,90.0
1986,AL,Wade Boggs,BOSTON,105.0
1986,NL,Keith Hernandez,NEW YORK,94.0
1987,AL,Brian Downing,CALIFORNIA,106.0
1987,NL,Jack Clark,ST. LOUIS,136.0
1988,AL,Wade Boggs,BOSTON,125.0
1988,NL,Will Clark,SAN FRANCISCO,100.0
1989,AL,Rickey Henderson,NEW YORK,126.0
1989,NL,Jack Clark,SAN DIEGO,132.0
1990,AL,Mark McGwire,OAKLAND,110.0
1990,NL,Jack Clark,SAN DIEGO,104.0
1991,AL,Frank Thomas,CHICAGO,138.0
1991,NL,Brett Butler,LOS ANGELES,108.0
1992,AL,Mickey Tettleton,DETROIT,122.0
1992,NL,Barry Bonds,PITTSBURGH,127.0
1993,AL,Tony Phillips,DETROIT,132.0
1993,NL,Lenny Dykstra,PHILADELPHIA,129.0
1994,AL,Frank Thomas,CHICAGO,109.0
1994,NL,Barry Bonds,SAN FRANCISCO,74.0
1995,AL,Frank Thomas,CHICAGO,136.0
1995,NL,Barry Bonds,SAN FRANCISCO,120.0
1996,AL,Tony Phillips,CHICAGO,125.0
1996,NL,Barry Bonds,SAN FRANCISCO,151.0
1997,AL,Jim Thome,CLEVELAND,120.0
1997,NL,Barry Bonds,SAN FRANCISCO,145.0
1998,AL,Rickey Henderson,OAKLAND,118.0
1998,NL,Mark McGwire,ST. LOUIS,162.0
1999,AL,Jim Thome,CLEVELAND,127.0
1999,NL,Jeff Bagwell,HOUSTON,149.0
2000,AL,Jason Giambi,OAKLAND,137.0
2000,NL,Barry Bonds,SAN FRANCISCO,117.0
2001,AL,Jason Giambi,OAKLAND,129.0
2001,NL,Barry Bonds,SAN FRANCISCO,177.0
2002,AL,Jim Thome,CLEVELAND,122.0
2002,NL,Barry Bonds,SAN FRANCISCO,198.0
2003,AL,Jason Giambi,NEW YORK,129.0
2003,NL,Barry Bonds,SAN FRANCISCO,148.0
2004,AL,Eric Chavez,OAKLAND,95.0
2004,NL,Barry Bonds,SAN FRANCISCO,232.0
2005,AL,Jason Giambi,NEW YORK,108.0
2005,NL,Brian Giles,SAN DIEGO,119.0
2006,AL,David Ortiz,BOSTON,119.0
2006,NL,Barry Bonds,SAN FRANCISCO,115.0
2007,AL,David Ortiz,BOSTON,111.0
2007,NL,Barry Bonds,SAN FRANCISCO,132.0
2008,AL,Jack Cust,OAKLAND,111.0
2008,NL,Adam Dunn,ARIZONA,122.0
2009,AL,Chone Figgins,LOS ANGELES,101.0
2009,NL,Adrian Gonzalez,SAN DIEGO,119.0
2010,AL,Daric Barton,OAKLAND,110.0
2010,NL,Prince Fielder,MILWAUKEE,114.0
2011,AL,Jose Bautista,TORONTO,132.0
